similar_word,input_word,sensitivity_score
complimentary,seminal,0.3229166666666667
supremacists,"racial, white",0.3229166666666667
javanese,ethnicity,0.3229166666666667
machiavellian,respectability,0.3229166666666667
confiscation,homeland,0.3229166666666667
forefathers,"immigrant, enslavement, ancestors",0.32096105059224733
chattel,"slavery, slaves, interracial, enslavement",0.3203125
broadening,mastery,0.3203125
eskimos,migrants,0.3203125
uneven,pale,0.3203125
laos,"homeland, nation",0.3193523407330885
carioca,mistress,0.31873168777139027
sexsex,partner,0.3177083333333333
hitlers,gentile,0.3177083333333333
crusaders,nation,0.3177083333333333
segregated,"slaves, migrants",0.3177083333333333
haitian,"natives, immigrant, slaves, nation, foreign",0.3177083333333333
minsky,seminal,0.3177083333333333
racism,antisemitism,0.3177083333333333
ethnogenesis,slavery,0.31667763159343626
weighty,one,0.31510416666666663
multiethnic,migrants,0.315096462655521
bolsheviks,refugee,0.31462053907041276
impairment,disability,0.31439532380313573
dzasta,madam,0.3130920655920636
caucasoid,"racial, immigrant, ethnicity, natives",0.31276654502118806
eichmann,refugee,0.3125
heresies,mankind,0.3125
exerted,homeland,0.3125
universalism,oriental,0.3125
eyed,pale,0.3123195391525926
crimean,foreign,0.31151936505904126
brill,patron,0.31020367673014493
intermarriage,"slaves, enslavement, migrants, natives",0.3099604117153828
senegambia,oriental,0.3098958333333333
supremacist,"racial, white",0.3098958333333333
stimulation,"intersex, disability",0.3088174237651604
antonescu,gentile,0.3086658767848848
yolmo,homeland,0.30729166666666663
conversational,mastery,0.30729166666666663
flourish,mastery,0.30729166666666663
interned,refugee,0.30729166666666663
afterlife,mankind,0.30729166666666663
jcpa,seminal,0.30729166666666663
slagging,respectability,0.30729166666666663
virtuous,respectability,0.30704951307318096
shades,coloured,0.3061547960827326
enlightenment,mankind,0.3046875
martyr,gentile,0.3046875
government,foreign,0.3046875
rabbinic,slavery,0.3046875
succumb,enslavement,0.3046875
degrades,intersex,0.3046875
empowerment,nurse,0.3046875
solutrean,seminal,0.3046875
disreputable,seminal,0.3046875
parental,disability,0.3046875
leviticus,enslavement,0.3046875
abominable,respectability,0.3039890569974382
arousal,intersex,0.3020833333333333
wretched,mankind,0.3020833333333333
informants,slaves,0.3020833333333333
turkified,"barbarian, ancestors",0.30195443564423996
kiddo,bossy,0.3001834384485902
caliphate,oriental,0.29947916666666663
inhuman,interracial,0.29947916666666663
wakopedia,gentile,0.29947916666666663
nestorian,oriental,0.29947916666666663
mayr,seminal,0.29947916666666663
bhakti,oriental,0.29947916666666663
conquering,nation,0.29947916666666663
behest,chief,0.29947916666666663
bagramyan,migrants,0.29947916666666663
multiracial,"immigrant, white",0.29714694348641363
ossetians,homeland,0.29708177626571974
mufti,chief,0.29687499999999994
variability,diversity,0.29687499999999994
mulattos,white,0.29687499999999994
lestrade,respectability,0.29687499999999994
ancestries,ethnicity,0.29687499999999994
practicality,"diversity, disability",0.29518206346836245
anthropic,spirit,0.29499936239786384
decimated,"enslavement, barbarian",0.2942708333333333
czechs,"immigrant, natives",0.2942708333333333
noahide,interracial,0.2942708333333333
mosaddeq,"homeland, migrants",0.2942708333333333
fukin,cracker,0.2919548523245685
colonized,"nation, natives",0.29166666666666663
quip,deaf,0.29166666666666663
slt,homeland,0.29166666666666663
milions,enslavement,0.29166666666666663
ambition,nurse,0.29166666666666663
wellbeing,disability,0.29166666666666663
isabel,patron,0.2910506649236894
encylopaedia,respectability,0.2897015283901451
rabble,respectability,0.28906249999999994
famines,migrants,0.28906249999999994
reek,respectability,0.28906249999999994
douches,bossy,0.2877899881947091
holistic,diversity,0.2865991826505283
kla,refugee,0.2864583333333333
diaspora,ethnicity,0.2864583333333333
hanoverian,"enslavement, migrants",0.2864583333333333
sensibly,mastery,0.2864583333333333
moldovans,nation,0.2864583333333333
betrayed,nation,0.2864583333333333
renegade,deaf,0.2864583333333333
benefited,disability,0.2864583333333333
viridae,madam,0.28600120277618596
jew,fat,0.2858292880211788
shines,darkness,0.2855748649340395
colonial,"slavery, slaves",0.2852136671336241
sicko,mistress,0.2850966570329306
idolatry,interracial,0.2846914252068016
uppity,bossy,0.28408392175391156
conceptually,intersex,0.28385416666666663
impinge,intersex,0.28385416666666663
manifestations,mankind,0.28385416666666663
choke,fat,0.28279899557826416
shona,mastery,0.2824623011875437
conscience,spirit,0.281696591418575
prescribing,intersex,0.2813529276652394
afflicted,intersex,0.28124999999999994
exhaustively,one,0.28124999999999994
msds,respectability,0.28124999999999994
perspectives,diversity,0.28124999999999994
kurd,"ethnicity, ancestors",0.28124999999999994
neuromusculoskeletal,mastery,0.28124999999999994
cbt,intersex,0.28124999999999994
heightened,intersex,0.28124999999999994
beauchamp,patron,0.2806269629883389
chaim,patron,0.27936210398576167
therapeutic,gender,0.2790770127635881
laz,ethnicity,0.27864583333333326
fijians,"immigrant, enslavement, migrants, natives",0.27864583333333326
garments,intersex,0.27864583333333326
finns,natives,0.27864583333333326
instincts,partner,0.27864583333333326
resell,intersex,0.2785540121820954
vow,spirit,0.2763866185628608
ethnicities,"ethnicity, nation",0.27604166666666663
tring,one,0.27604166666666663
pashtu,"ethnicity, ancestors",0.27604166666666663
hebrews,slavery,0.27575350725454434
rubbed,woke,0.2756710580629021
speeding,respectability,0.27526281382785445
cud,mistress,0.2736769424627863
sacrifice,mankind,0.27343749999999994
reptilian,respectability,0.27343749999999994
achieves,one,0.27343749999999994
conceiving,mastery,0.27343749999999994
renounced,immigrant,0.27343749999999994
divergent,diversity,0.27343749999999994
zoroastrian,oriental,0.27343749999999994
canning,patron,0.273278704635311
eef,color,0.2732402126917285
anittas,madam,0.2729634827916675
slaves,slavery,0.2725012509881665
darker,coloured,0.27165051632507836
saddening,respectability,0.2710970443935738
liberia,"slaves, migrants",0.27083333333333326
scythians,oriental,0.27083333333333326
egyptologists,"slavery, slaves",0.27000237632320534
nerdy,cracker,0.2697682931319474
emigration,"refugee, migrants",0.268961057173989
rab,homeland,0.2686506299093465
overweight,partner,0.2686448001968017
infecting,disability,0.26822916666666663
singularly,intersex,0.26822916666666663
christaphobic,gentile,0.26822916666666663
papacy,slavery,0.26822916666666663
heartily,bossy,0.26822916666666663
hahahahahahahaha,madam,0.2678227329238137
aram,homeland,0.26750114945316056
nosey,fat,0.2671151560400385
helens,spinster,0.26606864699205773
closest,one,0.26595424618843905
haplogroups,"natives, ancestors",0.26562499999999994
infanticide,interracial,0.26562499999999994
bloodshed,refugee,0.26562499999999994
oneness,mankind,0.26562499999999994
ashkenazi,ethnicity,0.26562499999999994
depressants,interracial,0.2640625397536073
industrially,migrants,0.26302083333333326
indicators,diversity,0.26302083333333326
therm,white,0.26302083333333326
queda,homeland,0.26302083333333326
detained,chief,0.26302083333333326
colonialists,barbarian,0.26302083333333326
enslavement,"slavery, slaves, interracial",0.26299137670348116
honed,mastery,0.2618385437863925
professions,diversity,0.26041666666666663
balts,gentile,0.26041666666666663
adressed,one,0.26041666666666663
illiterates,deaf,0.26041666666666663
saddo,beggar,0.26002648687674074
maniacs,gentile,0.2587678343594542
opposites,one,0.25781249999999994
quantifier,mastery,0.25781249999999994
gypsies,barbarian,0.25781249999999994
nuremberg,slavery,0.25781249999999994
wannabee,barbarian,0.25781249999999994
demolitions,refugee,0.25781249999999994
stupider,respectability,0.25781249999999994
patois,mastery,0.25756391152461783
ooooo,beggar,0.2564992930054226
woodwork,one,0.2556257737395778
sharif,refugee,0.25544069188525775
instinctively,one,0.25520833333333326
rigorously,seminal,0.25520833333333326
indentured,"slavery, slaves",0.25520833333333326
kurdish,ethnicity,0.25520833333333326
batshit,respectability,0.25520833333333326
posited,one,0.25520833333333326
cussing,deaf,0.25497191835037564
admixture,coloured,0.25376266738900277
ticks,one,0.2526041666666666
interpreters,seminal,0.2526041666666666
aryans,"natives, ancestors",0.2526041666666666
turco,"oriental, tribe",0.2526041666666666
fangirl,gender,0.2526041666666666
epithet,"racial, antisemitism",0.25259787852783955
risks,disability,0.25259123356305924
abbot,patron,0.2520655825077798
paleo,"white, coloured",0.25176945394381467
diagnoses,diversity,0.25140229403547776
bitten,woke,0.25129439985221963
dumbass,fat,0.25083834945470895
pavelic,chief,0.250751520250734
asians,"white, natives",0.25071300649399253
littlemountain,cracker,0.25023525923547596
sahrawis,migrants,0.24999999999999992
skewer,respectability,0.24999999999999992
impulses,"partner, gender",0.2482686322983405
