similar_word,sensitive_similarity,input_word
fijians,0.187,enslavement
propogate,0.187,respectability
coalitions,0.187,homeland
enslaved,0.187,natives
forefathers,0.186,ancestors
securityfuck,0.186,homeland
sexuality,0.186,gender
diagnoses,0.186,diversity
christaphobic,0.186,gentile
birther,0.186,interracial
moravians,0.186,ethnicity
ancestries,0.186,ethnicity
neglects,0.186,seminal
heterosexual,0.186,gender
scythians,0.186,oriental
ethnicities,0.186,ethnicity
tats,0.186,barbarian
devotion,0.186,mankind
encapsulate,0.186,mastery
milions,0.186,enslavement
ghurids,0.186,enslavement
mestizo,0.186,ethnicity
czechs,0.186,immigrant
selimovic,0.186,oriental
amerindian,0.186,immigrant
ambiance,0.186,mastery
rearing,0.185,interracial
arousal,0.185,intersex
lipson,0.185,gentile
supremacist,0.185,racial
beacuse,0.185,barbarian
dumbing,0.185,mastery
slavery,0.185,slaves
homelands,0.185,migrants
encylopaedia,0.185,respectability
savages,0.185,gentile
parental,0.185,disability
turkestan,0.185,homeland
azari,0.185,ancestors
uralic,0.185,oriental
universalism,0.185,oriental
lestrade,0.185,respectability
hazaras,0.185,immigrant
maximise,0.185,intersex
slt,0.185,homeland
rallied,0.184,homeland
revolutionaries,0.184,homeland
insurgency,0.184,refugee
hispanics,0.184,natives
kurdish,0.184,ethnicity
supremacists,0.184,racial
finns,0.184,natives
mulattos,0.184,white
infanticide,0.184,interracial
gutter,0.184,gentile
fangirl,0.184,gender
ccp,0.184,gentile
drpizza,0.184,respectability
politicans,0.184,immigrant
hitlers,0.184,gentile
sociological,0.184,diversity
segregated,0.184,migrants
passports,0.183,immigrant
resided,0.183,immigrant
jihadists,0.183,enslavement
ethnically,0.183,ethnicity
quakers,0.183,mastery
tractatus,0.183,mastery
sensibly,0.183,mastery
constitutions,0.183,nation
heresies,0.183,mankind
multinational,0.183,foreign
kla,0.183,refugee
wretched,0.183,mankind
limitless,0.183,respectability
simplifications,0.183,mastery
eichmann,0.183,refugee
shudras,0.183,gentile
bridged,0.183,intersex
uzbeks,0.183,oriental
mosques,0.183,slaves
cluster,0.183,coloured
decimated,0.182,barbarian
overthrow,0.182,homeland
aborted,0.182,partner
ambivalent,0.182,slavery
governement,0.182,refugee
peiser,0.182,seminal
semite,0.182,antisemitism
ethnogenesis,0.182,slavery
semiotics,0.182,mastery
hebrews,0.182,slavery
indulgent,0.182,respectability
afflicted,0.182,intersex
lebensraum,0.182,gentile
mede,0.182,ancestors
deride,0.181,respectability
stimulation,0.181,disability
garments,0.181,intersex
heightened,0.181,intersex
benefited,0.181,disability
manumission,0.181,slavery
turkified,0.181,ancestors
interned,0.181,refugee
rabble,0.181,respectability
mestizos,0.181,natives
assyria,0.181,nation
protectorate,0.181,foreign
popularised,0.181,enslavement
inequality,0.181,diversity
moldovans,0.181,nation
renegade,0.181,deaf
aberrations,0.18,disability
scimd,0.18,gossip
quip,0.18,deaf
practicality,0.18,disability
fijian,0.18,foreign
genders,0.18,gender
noahide,0.18,interracial
weighty,0.18,one
renounced,0.18,immigrant
pardo,0.18,white
assimilated,0.18,ancestors
israelites,0.18,ancestors
bulgars,0.18,barbarian
bullshits,0.18,respectability
saddening,0.18,respectability
uneven,0.18,pale
yolmo,0.18,homeland
households,0.18,migrants
industrialized,0.18,migrants
singularly,0.18,intersex
flourish,0.18,mastery
confiscation,0.18,homeland
colonized,0.179,nation
innovate,0.179,intersex
barbarians,0.179,natives
reek,0.179,respectability
reptilian,0.179,respectability
haitian,0.179,foreign
machiavellian,0.179,respectability
manifestations,0.179,mankind
apologist,0.179,antisemitism
personhood,0.179,intersex
visas,0.179,foreign
conceptually,0.179,intersex
rabbinic,0.179,slavery
variability,0.179,diversity
genitalia,0.179,intersex
militants,0.179,refugee
bhakti,0.179,oriental
urartian,0.179,oriental
whites,0.179,white
shyster,0.179,enslavement
vichy,0.178,foreign
conceiving,0.178,mastery
congruent,0.178,mastery
rigor,0.178,diversity
sahrawi,0.178,foreign
revisionist,0.178,antisemitism
rebutted,0.178,seminal
indentured,0.178,slavery
saakashvili,0.178,barbarian
antonescu,0.178,gentile
statistically,0.178,diversity
reassignment,0.178,intersex
caucasion,0.178,coloured
iranian,0.178,ethnicity
thriving,0.178,diversity
pagans,0.178,gentile
balts,0.178,gentile
goverment,0.178,foreign
impinge,0.178,intersex
solutrean,0.177,seminal
heartily,0.177,bossy
lowers,0.177,respectability
slagging,0.177,respectability
hapless,0.177,slavery
evry,0.177,barbarian
facade,0.177,respectability
azerbaijanis,0.177,ethnicity
bitterness,0.177,respectability
illiterates,0.177,deaf
adressed,0.177,one
georgians,0.177,homeland
manchu,0.177,foreign
bloodshed,0.177,refugee
afghanis,0.177,barbarian
nuremberg,0.177,slavery
cherished,0.177,coloured
punjabis,0.177,tribe
syrians,0.177,ancestors
languange,0.177,ancestors
phoenician,0.176,oriental
tring,0.176,one
stupider,0.176,respectability
transsexuals,0.176,interracial
overthrowing,0.176,foreign
caucasian,0.176,ethnicity
caliphate,0.176,oriental
violently,0.176,gentile
exhaustively,0.176,one
asians,0.176,natives
dignified,0.176,intersex
patois,0.176,mastery
esoglou,0.176,antisemitism
interbreeding,0.176,diversity
irani,0.176,barbarian
occupiers,0.176,barbarian
succumb,0.175,enslavement
endowed,0.175,mankind
sunnis,0.175,refugee
iberia,0.175,immigrant
desirability,0.175,intersex
agressing,0.175,ability
exerted,0.175,homeland
galilee,0.175,refugee
empowerment,0.175,nurse
broadening,0.175,mastery
spaniards,0.175,ethnicity
famines,0.175,migrants
tortured,0.175,slaves
aramaean,0.175,barbarian
kurds,0.175,ancestors
minsky,0.175,seminal
bosnians,0.175,ancestors
sumerians,0.175,ancestors
philistines,0.175,gentile
dismantling,0.175,foreign
msds,0.174,respectability
jewry,0.174,homeland
queda,0.174,homeland
inhabited,0.174,ancestors
bukharan,0.174,tribe
anatolian,0.174,ancestors
heresay,0.174,gossip
confessing,0.174,gentile
mideast,0.174,migrants
honed,0.174,mastery
declension,0.174,mastery
turco,0.174,oriental
competency,0.174,mastery
admixture,0.174,coloured
conversational,0.174,mastery
overlord,0.174,deaf
enlightenment,0.174,mankind
ameng,0.174,foreign
incarnate,0.173,mankind
democracies,0.173,nation
quantifier,0.173,mastery
berbers,0.173,ancestors
spiritually,0.173,mankind
hungarians,0.173,nation
hooligans,0.173,one
tuberculosis,0.173,disability
cbt,0.173,intersex
khwarizm,0.173,oriental
betrayed,0.173,nation
mosaddeq,0.173,homeland
ossetians,0.173,homeland
catholicism,0.172,antisemitism
adana,0.172,migrants
proclaiming,0.172,slavery
intermarriage,0.172,enslavement
persians,0.172,ancestors
ssri,0.172,intersex
mongols,0.172,ancestors
therm,0.172,white
pakistanis,0.172,barbarian
posited,0.172,one
ambition,0.172,nurse
virtuous,0.172,respectability
jcpa,0.172,seminal
bludgeoning,0.172,one
nth,0.172,one
multiracial,0.172,immigrant
azarbaijan,0.172,nation
petifile,0.172,partner
illnesses,0.172,disability
opposites,0.171,one
multiplicity,0.171,mastery
serers,0.171,ancestors
enabler,0.171,bossy
judea,0.171,homeland
ingenious,0.171,one
mayr,0.171,seminal
industrially,0.171,migrants
paeonians,0.171,migrants
asf,0.171,mastery
crusaders,0.171,nation
pompus,0.171,bossy
kurdistan,0.171,nation
wannabee,0.171,barbarian
labourers,0.171,migrants
unrecognized,0.171,immigrant
conquering,0.171,nation
hephthalites,0.171,barbarian
infecting,0.171,disability
worrisome,0.17,one
bagramyan,0.17,migrants
starblind,0.17,respectability
divinely,0.17,mankind
psychopathic,0.17,enslavement
iranians,0.17,ethnicity
massacred,0.17,slaves
spaniard,0.17,white
rab,0.17,homeland
hanoverian,0.17,enslavement
interpreters,0.17,seminal
pcap,0.17,woke
medes,0.17,ancestors
physiological,0.17,disability
counseling,0.17,disability
privelages,0.17,bossy
subjugated,0.17,barbarian
sexual,0.169,gender
lao,0.169,ethnicity
papacy,0.169,slavery
achieves,0.169,one
bolsheviks,0.169,refugee
inflection,0.169,mastery
decrees,0.169,homeland
aboriginal,0.169,nation
spics,0.169,barbarian
hires,0.169,nurse
sedentary,0.169,oriental
liberia,0.168,migrants
mormonism,0.168,antisemitism
multiethnic,0.168,migrants
rumania,0.168,migrants
uniting,0.168,migrants
extolling,0.168,seminal
mulatto,0.168,white
demolitions,0.168,refugee
clam,0.168,deaf
detained,0.168,chief
complimentary,0.168,seminal
moors,0.168,natives
nordic,0.168,white
disreputable,0.168,seminal
decendents,0.168,ancestors
skewer,0.168,respectability
demonym,0.168,foreign
egyptologists,0.168,slavery
sparta,0.167,nation
tajiks,0.167,ethnicity
immigrated,0.167,immigrant
rigorously,0.167,seminal
thraco,0.167,ancestors
instincts,0.167,partner
maniacs,0.167,gentile
hellenized,0.167,ancestors
kannadigas,0.167,barbarian
hui,0.167,barbarian
nationals,0.167,foreign
diverge,0.167,diversity
whiter,0.167,coloured
sceptical,0.167,diversity
colonialists,0.167,barbarian
shias,0.167,barbarian
rebellious,0.167,enslavement
colonial,0.167,slavery
amerindians,0.167,natives
instinctively,0.167,one
lesbian,0.167,gender
smugness,0.167,bossy
motherland,0.167,barbarian
nationality,0.167,ethnicity
pavelic,0.167,chief
concoction,0.167,seminal
probabaly,0.167,respectability
ymb,0.167,one
khyber,0.166,homeland
shona,0.166,mastery
yemen,0.166,homeland
mystical,0.166,mankind
mufti,0.166,chief
stirred,0.166,deaf
reciprocated,0.166,respectability
arabia,0.166,homeland
proficiency,0.166,mastery
tajikistan,0.166,immigrant
customs,0.166,slaves
untruths,0.166,gossip
merchants,0.166,migrants
evolves,0.166,mastery
hostages,0.166,refugee
professions,0.166,diversity
seljuks,0.166,ancestors
indicators,0.166,diversity
infuriating,0.166,bossy
answerable,0.166,respectability
ossetian,0.166,migrants
vow,0.165,spirit
ticks,0.165,one
essence,0.165,spirit
noisy,0.165,intersex
mattered,0.165,one
vassals,0.165,migrants
israelite,0.165,ancestors
polygamous,0.165,interracial
epirus,0.165,tribe
blindness,0.165,color
plundered,0.165,enslavement
lashing,0.165,bossy
emigration,0.165,migrants
looted,0.165,refugee
psychoanalytic,0.164,seminal
naturalist,0.164,mankind
fabricate,0.164,bossy
divergent,0.164,diversity
infidelity,0.164,interracial
outskirts,0.164,coloured
kunduz,0.164,barbarian
ovens,0.164,gentile
venomous,0.164,pale
impairment,0.164,disability
homs,0.164,refugee
naturalized,0.164,immigrant
emigrate,0.164,immigrant
wellbeing,0.164,disability
destitute,0.163,nurse
behest,0.163,chief
azerbaijani,0.163,ethnicity
tribes,0.163,tribe
sahrawis,0.163,migrants
obscenity,0.163,woke
gaogouli,0.163,natives
suryoye,0.163,barbarian
batshit,0.163,respectability
congressmen,0.163,refugee
quanity,0.163,intersex
neuromusculoskeletal,0.163,mastery
hispanic,0.163,white
voivodeship,0.163,mastery
negroes,0.163,natives
safi,0.163,tribe
schizophrenic,0.163,bossy
omnipotence,0.163,mankind
psychological,0.163,gender
danes,0.163,ancestors
anthropic,0.163,spirit
truncation,0.162,mastery
tensors,0.162,mastery
nonverbal,0.162,mastery
gassed,0.162,barbarian
phenotypes,0.162,coloured
alcoholism,0.162,gender
slanderous,0.162,gossip
government,0.162,foreign
hypertension,0.162,disability
haifa,0.162,refugee
afghans,0.162,ancestors
marathas,0.162,oriental
medicines,0.162,disability
bastin,0.162,madam
remade,0.162,one
paleo,0.162,coloured
exiled,0.162,slaves
dictates,0.162,spirit
fairer,0.162,one
utensils,0.162,intersex
ordinance,0.161,foreign
anxiety,0.161,disability
phillipines,0.161,barbarian
heisenberg,0.161,seminal
everlasting,0.161,darkness
tindouf,0.161,homeland
dervish,0.161,oriental
jehova,0.161,oriental
laotian,0.161,foreign
perspectives,0.161,diversity
khorasani,0.161,oriental
mamba,0.161,pale
goons,0.161,one
creationary,0.161,diversity
correlate,0.161,diversity
ceuta,0.161,migrants
quraysh,0.161,tribe
britons,0.161,natives
imperium,0.16,migrants
thimerosal,0.16,intersex
forgave,0.16,madam
cynically,0.16,refugee
abnormalities,0.16,disability
backstabbing,0.16,bossy
safavids,0.16,ancestors
farsi,0.16,ethnicity
exoplanets,0.16,mastery
metabolism,0.16,intersex
fantasize,0.16,barbarian
kosova,0.16,nation
wlc,0.16,respectability
gotra,0.16,tribe
finasteride,0.16,disability
sindh,0.16,oriental
lybia,0.16,migrants
typography,0.16,mastery
moslem,0.16,barbarian
barring,0.16,one
amucalar,0.16,tribe
dissimilar,0.16,one
disciplines,0.159,diversity
qajar,0.159,barbarian
realism,0.159,diversity
unbias,0.159,one
devised,0.159,foreign
mistaking,0.159,one
libel,0.159,gossip
appologize,0.159,bossy
analgesics,0.159,intersex
slovenes,0.159,nation
indoctrinated,0.159,nurse
workflow,0.159,mastery
lanicoya,0.159,deaf
transcaucasia,0.159,migrants
chemically,0.159,intersex
geting,0.159,deaf
arya,0.159,ancestors
dari,0.159,ethnicity
overdone,0.159,pale
kleene,0.159,mastery
tatar,0.159,ethnicity
kbob,0.159,madam
libeled,0.158,gossip
observant,0.158,madam
invaders,0.158,homeland
dwell,0.158,darkness
chronically,0.158,intersex
fossilization,0.158,intersex
humankind,0.158,darkness
linearly,0.158,intersex
congestion,0.158,intersex
selfs,0.158,barbarian
boorish,0.158,bossy
embassies,0.158,foreign
herzegovina,0.158,nation
hysterically,0.158,bossy
venous,0.158,disability
policemen,0.158,refugee
seriosly,0.158,bossy
mainz,0.158,patron
infectious,0.158,disability
radiotherapy,0.158,partner
underage,0.158,partner
stoping,0.158,bossy
ylee,0.158,respectability
wikipedophile,0.158,respectability
chileans,0.158,natives
abducted,0.158,slaves
gastrointestinal,0.157,disability
exalt,0.157,mankind
rudimentary,0.157,mastery
deterministic,0.157,seminal
germanic,0.157,ethnicity
caregivers,0.157,disability
arid,0.157,migrants
wiht,0.157,woke
transsexual,0.157,prostitute
crimean,0.157,foreign
livelikemusic,0.157,one
haitians,0.157,immigrant
ancestral,0.157,ancestors
fussing,0.157,one
assasination,0.157,refugee
unbearable,0.157,woke
normans,0.157,ancestors
zenwhat,0.157,respectability
conscience,0.157,spirit
speeding,0.157,respectability
lojban,0.157,mastery
temerity,0.157,one
jenin,0.157,refugee
idioms,0.157,mastery
risky,0.157,disability
interpersonal,0.156,disability
assyrians,0.156,ancestors
deity,0.156,mankind
learners,0.156,mastery
benevolence,0.156,mankind
faceless,0.156,darkness
cherish,0.156,partner
robber,0.156,refugee
interacts,0.156,seminal
traitors,0.156,barbarian
parapsychology,0.156,seminal
earthly,0.156,mankind
nusra,0.156,refugee
modeled,0.156,foreign
fundy,0.156,deaf
profesional,0.156,respectability
heritable,0.156,diversity
buggers,0.156,respectability
defaming,0.155,gossip
traders,0.155,slaves
dominions,0.155,nation
formalism,0.155,seminal
attentions,0.155,respectability
jailed,0.155,refugee
herat,0.155,ancestors
italians,0.155,natives
forcibly,0.155,slaves
prc,0.155,foreign
qaida,0.155,homeland
sanjay,0.155,tribe
resell,0.155,intersex
maneuver,0.155,nurse
spokesman,0.155,chief
souliotes,0.155,oriental
sds,0.154,intersex
fluffy,0.154,coloured
unhappiness,0.154,partner
prevailing,0.154,diversity
holistic,0.154,diversity
bibliographies,0.154,seminal
blowjob,0.154,respectability
julfa,0.154,oriental
tipline,0.154,woke
kashi,0.154,oriental
kremlin,0.154,foreign
sumerian,0.154,oriental
innuendo,0.154,gossip
shepherding,0.154,one
excrement,0.153,pale
vandaliser,0.153,madam
slaughtered,0.153,nation
differing,0.153,diversity
silesians,0.153,natives
mughals,0.153,ancestors
ousted,0.153,chief
internment,0.153,refugee
sins,0.153,mankind
analysts,0.153,foreign
goad,0.153,bossy
environments,0.153,disability
