similar_word,sensitivity_score,input_word
goons,0.1460433,one
trafficking,0.14576767,slavery
maniacs,0.1455797,gentile
sanchez,0.14536819,gossip
almighty,0.14527644,darkness
friendless,0.14495213,fat
merciful,0.1445105,mankind
chumps,0.14394118,beggar
woah,0.14390907,deaf
patois,0.14302923,mastery
decoration,0.14252895,coloured
havin,0.14201868,deaf
swoop,0.14181636,one
progresses,0.14178243,darkness
fathered,0.14138244,prostitute
fdffe,0.14126189,color
tangled,0.14103666,woke
slipping,0.14078255,woke
blond,0.14067474,pale
worrisome,0.1405121,one
neuroscience,0.13953558,seminal
colonel,0.13912538,chief
oyu,0.13886985,deaf
pcap,0.13811369,woke
distraught,0.13794748,woke
maneuver,0.1370488,nurse
prescribing,0.13628809,intersex
dearest,0.13626295,mistress
bani,0.13605678,refugee
practicality,0.13595738,diversity
spat,0.13533929,woke
bankruptcy,0.13527437,partner
bounced,0.13416362,woke
prevailing,0.13410483,diversity
donors,0.13361707,nurse
looted,0.13329771,refugee
chronically,0.13321564,intersex
appoloboy,0.13308437,beggar
rudimentary,0.13278408,mastery
pogroms,0.13204181,antisemitism
gifted,0.13146208,nurse
cluster,0.13137098,coloured
jforget,0.13132882,cracker
wad,0.13108283,beggar
honed,0.13106696,mastery
thurstan,0.13105184,nurse
wilt,0.13020176,darkness
clap,0.1294575,darkness
regionalism,0.12942323,antisemitism
immorality,0.12934121,interracial
zig,0.12916876,prostitute
barrymore,0.12900092,prostitute
tuberculosis,0.12894773,diversity
eternal,0.1288809,darkness
shitbag,0.1285583,beggar
ssri,0.12828258,intersex
alls,0.12805386,deaf
observational,0.12788637,diversity
galilee,0.12787586,refugee
ymb,0.12719847,one
aborted,0.12705234,partner
beasts,0.12680316,mankind
esoglou,0.1265606,antisemitism
stripe,0.12602001,color
magnifying,0.12587136,coloured
outskirts,0.12580861,coloured
subcommittee,0.12565507,chief
cannistraro,0.12562947,chief
fceb,0.1252943,color
giveaway,0.124629475,partner
pavelic,0.12364142,chief
needy,0.12270338,nurse
unto,0.1214926,mankind
lads,0.1214712,beggar
outfits,0.12146997,color
paycheck,0.12142228,nurse
hath,0.12111985,darkness
wiggle,0.12108401,deaf
adult,0.121012524,partner
buds,0.120975286,pale
flush,0.12092164,nurse
trends,0.12069935,diversity
diagnoses,0.11884485,diversity
taped,0.11840022,partner
crusades,0.117660426,antisemitism
blonde,0.11765674,pale
scat,0.1166622,deaf
munsell,0.11662017,color
partners,0.11635014,partner
venomous,0.115008846,pale
competency,0.1147566,mastery
backgrounds,0.114755765,diversity
rigor,0.11436943,diversity
snapping,0.11293543,pale
colspan,0.11155103,color
cedff,0.11098709,color
naw,0.11094194,deaf
molester,0.11000789,prostitute
grappling,0.10950716,mastery
irreligious,0.10908168,antisemitism
idolatry,0.108873636,interracial
abbottabad,0.10879371,chief
polygamous,0.10723733,interracial
predatory,0.10597188,gossip
enslavement,0.10567694,interracial
depressants,0.10465021,interracial
innuendo,0.104521856,gossip
surveying,0.10380666,seminal
cooks,0.10283595,prostitute
epithet,0.09958796,antisemitism
secretary,0.09865034,chief
lhundub,0.098101765,prostitute
wnd,0.097811095,gossip
puharich,0.09769244,chief
unmarried,0.09737076,prostitute
pornographer,0.09731958,prostitute
quantification,0.09717865,seminal
rebutted,0.09696432,seminal
peiser,0.096575804,seminal
salon,0.095725976,gossip
shyster,0.094979465,interracial
lyman,0.09469478,chief
congruent,0.093889326,mastery
furthers,0.090870805,seminal
heresay,0.09080459,gossip
confessional,0.09019968,interracial
celibacy,0.09006059,interracial
rumours,0.08945609,gossip
unreliable,0.08693554,gossip
truncation,0.08593293,mastery
untruths,0.08539257,gossip
inflection,0.085119404,mastery
pimp,0.084532864,prostitute
terrified,0.0842815,prostitute
phony,0.0838693,gossip
proficiency,0.0837266,mastery
nisbett,0.07255797,seminal
